client_id,platform,device_id
1,Android,1
2,Windows,3
3,Android,4
4,Android,6
5,Android,8
6,Android,10
7,iOS,12
8,iOS,13
9,Android,15
10,Android,17
11,Android,19
12,Android,20
13,Windows,22
14,iOS,23
15,Android,25
16,iOS,27
17,Android,29
18,Android,31
19,Android,33
20,Android,34
21,Android,36
22,Android,38
23,Android,40
24,Android,42
25,iOS,44
26,Android,45
27,Android,47
28,Android,49
29,Android,51
30,Android,53
31,Android,55
32,Android,57
33,Android,59
36,Android,61
37,Android,62
38,Android,64
39,Android,66
40,Android,68
41,Android,70
42,Android,71
43,Android,73
44,Linux,75
45,iOS,76
46,iOS,78
47,macOS,80
48,Android,81
49,Android,83
50,Android,85
51,Android,87
52,macOS,89
53,Android,90
55,iOS,92
56,Android,94
57,iOS,96
58,iOS,98
59,iOS,100
60,Android,102
61,iOS,104
62,Android,106
63,Android,108
64,Android,110
65,Android,112
66,Android,113
67,Android,115
68,Android,116
70,Android,118
71,iOS,120
72,Android,122
73,Android,124
74,Android,126
75,Android,128
76,Android,130
77,iOS,132
78,Android,134
79,Android,135
80,Android,137
81,Android,139
82,iOS,140
83,Android,142
84,Android,143
85,Android,145
86,Android,147
87,Android,149
89,Android,151
90,Android,153
91,iOS,155
92,Android,157
93,Android,158
94,Android,159
95,Android,161
96,Android,163
97,Android,165
98,Android,167
99,iOS,169
100,Android,171
101,Android,173
102,Android,175
103,Android,177
105,Android,178
106,Android,180
107,Android,182
108,Android,184
110,Android,186
112,Android,187
113,Android,189
114,iOS,191
115,Android,193
116,Android,194
117,Android,196
118,Android,198
119,iOS,199
120,Android,201
121,Android,203
122,Android,204
123,Android,206
124,Android,208
125,Android,210
126,Android,212
127,iOS,214
128,Android,215
129,Android,217
130,Android,219
131,Android,221
132,Android,223
134,macOS,225
135,iOS,226
136,Android,227
137,Windows,229
138,iOS,230
139,Android,232
140,Android,234
141,Android,236
142,Android,238
143,macOS,239
144,Android,240
145,macOS,242
146,iOS,243
147,Android,244
148,Android,246
149,Android,248
150,Android,250
151,iOS,252
152,Android,253
153,Android,254
154,Android,255
155,Android,256
156,iOS,258
157,iOS,260
158,iOS,262
159,Android,264
160,Android,266
161,Android,268
162,iOS,270
163,Android,271
164,Android,273
165,Android,275
166,Android,276
167,iOS,278
168,Android,280
169,Android,282
170,Android,284
171,Android,286
172,Android,288
173,Android,289
174,Android,291
175,Android,293
176,Windows,295
178,iOS,296
179,Android,298
180,Android,299
181,Android,301
182,Android,302
183,Android,304
184,Android,306
185,Android,308
186,Android,310
187,Android,312
188,iOS,314
189,Android,316
190,Android,318
191,Android,320
192,Android,321
193,Android,323
194,Android,325
195,Android,327
196,Android,329
197,Android,331
198,Android,333
199,Android,335
200,Android,337
201,Android,339
202,iOS,341
203,Android,343
204,Android,345
205,Android,347
206,Android,349
207,Android,351
208,Android,353
209,Android,355
210,Android,357
211,Android,359
212,Android,360
215,Android,361
216,Android,363
217,Android,365
218,Android,367
219,Windows,369
221,Android,370
222,Android,372
223,Android,374
224,Android,375
225,Android,376
226,Android,377
227,Android,378
228,Android,380
229,Android,382
230,iOS,384
231,Android,385
232,Android,387
233,Android,389
234,iOS,391
235,Android,393
236,iOS,394
237,iOS,396
238,Android,398
239,Android,400
240,Android,402
241,Android,404
242,Android,406
243,Android,408
246,Android,409
247,iOS,411
248,Android,413
249,Android,414
250,Android,416
251,Android,418
252,Android,420
253,Android,422
254,Android,423
255,Android,425
256,Android,426
257,Android,427
258,Android,429
259,Android,431
260,Android,433
261,Android,435
262,Android,437
263,Android,439
264,Android,441
265,Android,443
266,Android,445
267,Android,447
268,Android,449
269,Android,451
270,iOS,453
271,Android,455
272,Windows,457
273,Android,458
274,Android,460
275,Android,462
276,Android,464
277,Android,465
278,Android,466
279,Android,468
280,Android,470
282,Android,472
283,Android,474
284,Android,476
285,Android,477
286,Android,479
287,Android,481
288,Android,483
289,Android,485
290,iOS,487
291,Android,489
292,Android,490
293,Android,492
294,iOS,494
295,Windows,496
296,Android,497
297,Android,499
298,iOS,501
300,macOS,503
301,Android,504
302,Android,505
303,Android,506
304,iOS,508
305,iOS,509
308,Android,511
309,Android,513
310,Android,515
311,Android,517
312,Android,519
313,Windows,520
314,Android,521
315,iOS,523
316,Android,525
317,Android,527
318,Android,529
319,Android,531
320,iOS,533
321,iOS,535
322,Android,536
323,Android,537
324,iOS,538
325,Android,539
326,Android,541
327,Android,543
328,Android,545
329,Android,546
330,Android,548
331,Android,550
332,Android,552
333,Android,554
334,Android,556
335,Android,558
336,Android,560
337,Android,562
338,Android,563
339,Android,564
340,Android,565
341,iOS,567
342,Android,569
343,Android,570
344,Android,572
345,Android,574
346,Android,575
347,Android,577
348,Android,579
349,Android,581
350,Android,583
351,Android,585
352,Android,587
353,Android,589
354,Android,591
355,Android,593
356,macOS,594
357,Android,595
358,Android,597
359,iOS,598
360,Android,600
361,Android,602
362,Android,604
363,iOS,606
364,Android,608
365,Android,610
366,Android,612
367,Android,614
368,Android,616
369,Windows,618
370,Android,619
371,Android,621
372,Android,623
373,Android,625
374,Android,627
375,Android,629
376,Android,631
378,Android,633
379,macOS,634
380,Android,635
381,Android,637
382,Android,639
383,Android,641
384,Android,643
385,Android,644
386,iOS,646
387,Android,647
388,Android,649
389,Android,651
390,Android,653
391,iOS,655
392,Android,657
393,Android,659
394,Android,661
395,Android,663
396,Android,664
397,Android,666
398,Android,668
399,Android,669
400,Android,671
401,Linux,673
402,Android,674
403,Android,675
404,Android,677
405,Android,679
406,Android,681
407,iOS,683
408,Android,685
409,Android,687
410,iOS,688
411,Android,690
412,Android,692
413,Android,694
414,iOS,696
415,Android,698
416,Android,700
417,Android,701
418,iOS,703
419,Android,705
420,Android,707
421,Android,709
422,Android,710
423,Android,712
424,Linux,714
425,iOS,715
426,Android,716
427,iOS,718
428,Android,720
429,Windows,722
430,iOS,723
431,Android,725
432,Windows,727
433,Android,728
434,Android,730
435,Android,732
436,Android,734
437,iOS,736
438,Android,738
439,Android,740
440,Android,742
441,Android,743
442,Android,744
443,Android,746
444,Android,748
445,iOS,749
446,iOS,751
447,Android,753
448,Windows,754
450,Android,755
451,Android,756
452,Android,758
453,Android,760
454,Android,762
455,Android,764
456,Windows,766
457,Android,767
458,iOS,769
459,Android,770
461,Android,772
462,Android,774
463,Android,776
464,Android,778
465,Android,780
466,Android,782
467,iOS,784
468,Android,785
469,iOS,787
470,Windows,789
471,Android,790
472,Android,792
473,Android,794
474,iOS,795
476,Android,797
477,Android,799
478,Android,800
479,Android,802
480,Android,804
481,Android,806
482,Android,808
483,Android,810
484,Android,812
485,Android,814
486,Windows,816
487,Android,817
488,Android,819
489,iOS,821
490,Android,822
491,Android,824
492,iOS,826
493,Android,827
494,Android,829
495,Linux,831
496,Android,832
497,Android,834
498,Android,836
499,iOS,838
500,Android,840
501,Windows,842
502,iOS,843
503,Android,844
504,Android,846
505,Android,848
506,Android,850
507,Android,852
508,Android,854
509,Android,855
510,iOS,857
511,iOS,858
512,Android,860
513,Android,862
514,Android,864
515,Android,866
516,Android,868
517,Android,870
518,Windows,871
519,Android,872
520,iOS,874
521,Android,876
522,Android,878
523,Android,880
524,Android,881
525,iOS,883
526,Android,885
527,Android,887
528,Android,889
529,Android,891
530,Android,893
531,Android,895
532,Android,897
533,Android,899
534,Android,901
535,Android,902
536,iOS,904
537,Android,906
538,Android,908
540,Android,909
541,Windows,911
542,Android,912
543,Android,914
544,macOS,916
545,Android,917
546,Android,918
547,Android,920
548,iOS,922
550,Windows,924
551,Windows,925
552,Android,926
553,Android,928
554,Android,930
555,Android,932
556,iOS,934
557,Android,936
558,Windows,937
559,Android,938
560,Android,940
561,Android,941
562,Android,943
563,iOS,945
564,Android,947
565,Android,949
566,Android,951
567,Android,953
568,Android,954
569,Android,956
570,Android,958
571,Android,960
572,Android,962
573,Android,964
574,Windows,966
575,Android,967
576,Android,969
577,Android,971
578,Android,973
579,Android,974
581,Android,976
582,Android,978
583,Windows,980
584,Android,981
585,Windows,982
586,Android,983
587,Android,984
588,Android,986
589,Android,988
590,Android,990
591,Android,991
592,Windows,993
593,Android,994
596,Android,995
597,Android,997
