device_id,platform
9670,Windows
9671,Windows
9672,Windows
9673,Windows
9674,Windows
9675,Windows
9676,Windows
9677,Android
9678,Windows
9679,iOS
9680,Windows
9681,iOS
9682,Windows
9683,Windows
9684,Windows
9685,iOS
9686,Windows
9687,Windows
9688,Android
9689,Android
9690,macOS
9691,Android
9692,Windows
9693,Windows
9694,Windows
9695,Windows
9696,macOS
9697,Android
9698,Windows
9699,Windows
9700,macOS
9701,Android
9702,Windows
9703,Windows
9704,Windows
9705,Windows
9706,Android
9707,Windows
9708,Windows
9709,Android
9710,Android
9711,Windows
9712,Linux
9713,Windows
9714,Windows
9715,Windows
9716,Android
9717,Android
9718,Android
9719,Android
9720,Android
9721,Android
9722,Windows
9723,Android
9724,Windows
9725,Windows
9726,Windows
9727,Android
9728,Windows
9729,Android
9730,Android
9731,iOS
9732,Android
9733,Android
9734,Windows
9735,Windows
9736,Windows
9737,Windows
9738,Android
9739,Windows
9740,Android
9741,Windows
9742,iOS
9743,Android
9744,Windows
9745,Android
9746,Android
9747,Windows
9748,iOS
9749,Windows
9750,Windows
9751,Windows
9752,Windows
9753,Windows
9754,Android
9755,Android
9756,Windows
9757,Windows
9758,Android
9759,Windows
9760,Windows
9761,Windows
9762,Windows
9763,Linux
9764,Windows
9765,Windows
9766,Windows
9767,iOS
9768,Android
9769,Windows
9770,Android
9771,Windows
9772,Windows
9773,Windows
9774,Windows
9775,Android
9776,Windows
9777,macOS
9778,iOS
9779,Android
9780,Windows
9781,Android
9782,Windows
9783,Linux
9784,Windows
9785,macOS
9786,Windows
9787,iOS
9788,Windows
9789,Windows
9790,Android
9791,Windows
9792,Windows
9793,macOS
9794,Android
9795,macOS
9796,Android
9797,iOS
9798,Linux
9799,Windows
9800,Android
9801,Windows
9802,Windows
9803,Windows
9804,Windows
9805,Windows
9806,Windows
9807,Android
9808,Windows
9809,Android
9810,Android
9811,Windows
9812,Windows
9813,Android
9814,Windows
9815,Windows
9816,Android
9817,Windows
9818,Android
9819,Windows
9820,Windows
9821,Windows
9822,Windows
9823,Windows
9824,Android
9825,Windows
9826,macOS
9827,iOS
9828,Windows
9829,Android
9830,Android
9831,Windows
9832,Windows
9833,Windows
9834,Android
9835,macOS
9836,Windows
9837,iOS
9838,Windows
9839,Windows
9840,Windows
9841,Windows
9842,Windows
9843,iOS
9844,Windows
9845,Windows
9846,Android
9847,Windows
9848,iOS
9849,Windows
9850,Linux
9851,macOS
9852,Windows
9853,Windows
9854,Windows
9855,Windows
9856,Windows
9857,Windows
9858,Android
9859,Windows
9860,Android
9861,Windows
9862,Windows
9863,Windows
9864,Windows
9865,Windows
9866,Windows
9867,Windows
9868,Windows
9869,Android
9870,Android
9871,Windows
9872,Windows
9873,Windows
9874,Windows
9875,Linux
9876,Windows
9877,Windows
9878,Android
9879,Windows
9880,Windows
9881,Android
9882,Windows
9883,Windows
9884,Android
9885,Android
9886,Windows
9887,Android
9888,Windows
9889,Android
9890,macOS
9891,Android
9892,Windows
9893,iOS
9894,iOS
9895,Windows
9896,Windows
9897,Windows
9898,Windows
9899,Android
9900,iOS
9901,Windows
9902,Windows
9903,Windows
9904,Windows
9905,Windows
9906,Android
9907,Android
9908,Windows
9909,Windows
9910,Android
9911,Windows
9912,Windows
9913,Windows
9914,Windows
9915,Windows
9916,Windows
9917,Windows
9918,Linux
9919,Android
9920,Windows
9921,Windows
9922,Android
9923,Windows
9924,Android
9925,Windows
9926,macOS
9927,Windows
9928,iOS
9929,Windows
9930,Windows
9931,Android
9932,Android
9933,iOS
9934,Windows
9935,macOS
9936,Android
9937,Android
9938,Windows
9939,Android
9940,iOS
9941,Windows
9942,Windows
9943,Windows
9944,macOS
9945,Android
9946,Windows
9947,Windows
9948,Android
9949,Windows
9950,Windows
9951,Windows
9952,Android
9953,Android
9954,Windows
9955,Android
9956,Windows
9957,Windows
9958,Android
9959,Windows
9960,Windows
9961,Windows
9962,Android
9963,Android
9964,Windows
9965,Windows
9966,Windows
9967,Windows
9968,Windows
9969,iOS
9970,Windows
9971,Windows
9972,Windows
9973,Windows
9974,macOS
9975,Android
9976,macOS
9977,Windows
9978,Windows
9979,macOS
9980,macOS
9981,Windows
9982,Windows
9983,Windows
9984,Windows
9985,Windows
9986,Android
9987,Windows
