client_id,platform,device_id
1,Android,1
2,Android,3
3,Android,4
4,iOS,5
5,Android,7
6,Android,9
7,Windows,11
8,Android,12
9,Android,14
10,Android,16
11,Android,17
12,Android,19
13,iOS,21
14,Android,23
15,Android,25
16,Android,27
17,Android,29
18,Android,31
19,Android,33
20,Android,34
21,Android,36
22,Android,38
23,Android,40
24,Android,42
25,Android,44
26,Android,46
27,Android,48
28,Android,50
29,macOS,52
30,Android,53
31,Android,55
32,Android,56
33,Android,58
36,Android,60
37,Android,62
38,iOS,64
39,iOS,66
40,Android,68
41,iOS,70
42,Android,72
43,iOS,74
44,Android,75
45,Android,77
46,Android,79
47,Android,81
48,Android,83
49,Android,85
50,Android,86
51,Android,87
52,Android,88
53,iOS,90
55,Android,92
56,Android,94
57,iOS,96
58,Android,98
59,macOS,100
60,Android,101
61,iOS,103
62,Android,105
63,iOS,107
64,Android,109
65,Android,110
66,Android,112
67,iOS,113
68,Android,115
70,iOS,117
71,Android,119
72,Android,121
73,Android,123
74,Android,125
75,Android,127
76,Android,129
77,Android,131
78,Android,133
79,Android,135
80,Android,137
81,Android,139
82,iOS,141
83,Android,143
84,Android,145
85,Android,147
86,Android,149
87,Android,151
89,iOS,153
90,iOS,155
91,Android,157
92,Android,159
93,Android,161
94,Android,163
95,Android,165
96,Android,167
97,Android,169
98,iOS,171
99,Android,173
100,Android,175
101,iOS,177
102,Android,179
103,Android,180
105,Android,182
106,Android,184
107,Android,186
108,Android,188
110,Android,190
112,Android,192
113,Android,194
114,Android,196
115,Android,198
116,iOS,200
117,Android,202
118,Android,203
119,Android,205
120,Android,207
121,macOS,209
122,Android,210
123,Android,211
124,Android,213
125,Android,215
126,Android,217
127,Android,219
128,iOS,220
129,Android,222
130,iOS,224
131,Android,226
132,Android,228
134,Android,230
135,Android,232
136,Android,234
137,Android,236
138,Android,238
139,Android,240
140,Android,242
141,iOS,244
142,Android,246
143,Android,247
144,Android,249
145,iOS,251
146,iOS,252
147,Android,254
148,Android,255
149,Android,257
150,iOS,259
151,Android,261
152,Android,263
153,Android,265
154,Android,267
155,Android,269
156,iOS,271
157,Android,273
158,Android,275
159,Android,277
160,Windows,279
161,Android,280
162,Android,282
163,Android,284
164,Windows,286
165,Windows,287
166,Android,288
167,Android,290
168,Android,292
169,Android,294
170,Windows,296
171,Android,297
172,iOS,299
173,Android,301
174,Android,303
175,Android,305
176,Android,307
178,Android,309
179,Android,310
180,Android,312
181,iOS,314
182,Android,316
183,iOS,318
184,Android,320
185,Android,322
186,Android,323
187,Android,324
188,Android,326
189,Android,328
190,Android,330
191,iOS,332
192,Linux,334
193,Android,335
194,Android,337
195,Android,339
196,Android,340
197,iOS,342
198,Windows,344
199,macOS,345
200,Android,346
201,Android,348
202,iOS,350
203,Android,352
204,Android,354
205,Android,356
206,Android,358
207,iOS,360
208,Android,362
209,Android,364
210,Android,366
211,Android,368
212,Android,370
215,Android,371
216,Android,373
217,Android,375
218,Android,377
219,Android,379
221,Android,381
222,Android,382
223,iOS,384
224,Android,386
225,Android,388
226,Android,390
227,Android,392
228,Android,394
229,iOS,396
230,Android,398
231,Android,400
232,Android,401
233,Android,403
234,Android,405
235,Android,407
236,Android,409
237,Android,411
238,Android,413
239,Android,415
240,Android,417
241,Android,419
242,Android,421
243,Android,423
246,Android,425
247,iOS,427
248,Android,429
249,Android,431
250,Android,433
251,Android,435
252,Android,437
253,iOS,439
254,iOS,441
255,Android,442
256,Windows,443
257,Android,444
258,Android,446
259,Android,448
260,iOS,449
261,iOS,451
262,iOS,453
263,Android,454
264,Android,456
265,Android,458
266,Android,459
267,Android,461
268,Android,463
269,iOS,465
270,Android,466
271,iOS,468
272,Android,470
273,iOS,472
274,iOS,474
275,Android,476
276,Android,478
277,iOS,480
278,Android,481
279,Android,483
280,Android,485
282,Android,487
283,Android,488
284,Android,490
285,Android,491
286,Android,493
287,Android,495
288,Android,497
289,Windows,499
290,Android,500
291,Android,502
292,Android,504
293,Android,505
294,iOS,507
295,Android,509
296,Android,511
297,Android,512
298,macOS,514
300,Android,515
301,Android,517
302,Android,519
303,iOS,521
304,Android,523
305,Android,525
308,Android,526
309,Android,527
310,Android,529
311,Android,531
312,Android,533
313,Android,534
314,Android,536
315,Android,538
316,Android,540
