client_id,district_id,birth_date,sex
1,18,1970-12-13,female
2,1,1945-02-04,male
3,1,1940-10-09,female
4,5,1956-12-01,male
5,5,1960-07-03,female
6,12,1919-09-22,male
7,15,1929-01-25,male
8,51,1938-02-21,female
9,60,1935-10-16,male
10,57,1943-05-01,male
11,57,1950-08-22,female
12,40,1981-02-20,male
13,54,1974-05-29,female
14,76,1942-06-22,female
15,21,1918-08-28,female
16,21,1919-02-25,male
17,76,1934-10-13,male
18,76,1931-04-05,female
19,47,1942-12-28,male
20,46,1979-01-04,male
21,12,1952-10-29,female
22,1,1969-10-11,female
23,1,1973-05-29,male
24,43,1939-07-29,female
25,21,1939-04-23,female
26,74,1969-04-20,female
27,54,1966-03-26,female
28,1,1945-09-29,male
29,30,1951-09-11,female
30,74,1957-10-09,female
31,68,1962-02-09,male
32,52,1980-07-28,male
33,73,1948-12-04,female
36,7,1978-07-17,female
37,7,1970-08-10,male
38,36,1973-07-23,female
39,68,1968-01-25,male
40,5,1957-01-22,female
41,22,1968-08-27,male
42,68,1935-08-17,male
43,75,1920-10-28,male
44,38,1977-01-11,female
45,20,1952-08-26,male
46,19,1940-01-30,female
47,76,1934-07-14,male
48,16,1940-02-09,male
49,72,1959-05-11,female
50,39,1978-07-30,female
51,36,1979-12-02,female
52,32,1924-12-12,male
53,64,1977-05-05,male
55,45,1948-09-18,female
56,21,1960-03-31,male
57,21,1961-12-17,female
58,1,1927-04-29,female
59,1,1957-02-18,male
60,67,1980-02-19,male
61,16,1948-08-06,female
62,77,1932-12-08,male
63,4,1959-06-04,male
64,20,1926-04-22,male
65,50,1943-05-27,female
66,1,1951-11-10,female
67,29,1932-11-11,female
68,43,1946-12-14,male
70,70,1925-12-22,male
71,70,1927-02-06,female
72,47,1923-01-13,male
73,22,1924-02-20,male
74,22,1925-07-26,female
75,64,1977-09-19,female
76,36,1967-10-01,female
77,1,1956-02-18,female
78,16,1944-06-13,female
79,37,1969-03-10,female
80,64,1979-02-25,female
81,8,1976-04-29,male
82,8,1979-12-25,female
83,1,1978-12-25,female
84,1,1979-05-05,male
85,1,1961-08-27,male
86,1,1969-07-20,female
87,72,1946-11-17,female
89,1,1951-05-05,female
90,52,1975-08-17,male
91,63,1940-08-07,male
92,74,1966-06-12,female
93,3,1925-02-16,male
94,43,1947-09-09,male
95,43,1952-08-03,female
96,74,1972-02-29,male
97,26,1965-11-28,male
98,33,1973-05-04,female
99,33,1973-01-26,male
100,44,1942-08-11,female
101,68,1943-01-23,male
102,74,1958-09-10,female
103,74,1955-07-11,male
105,31,1980-05-26,male
106,68,1968-12-30,female
107,1,1972-06-23,male
108,17,1963-09-13,male
110,2,1967-04-13,female
112,1,1935-01-25,male
113,1,1940-08-15,female
114,74,1969-06-24,female
115,74,1969-12-24,male
116,74,1942-01-28,male
117,74,1936-09-20,female
118,55,1922-07-19,male
119,55,1922-02-28,female
120,1,1976-05-10,male
121,41,1978-10-29,female
122,35,1963-11-13,female
123,11,1969-02-12,male
124,44,1967-09-21,male
125,37,1936-10-31,male
126,37,1929-09-27,female
127,21,1950-12-27,female
128,63,1973-04-04,female
129,64,1947-05-31,female
130,53,1942-02-14,male
131,53,1977-01-31,female
132,36,1953-01-26,male
134,6,1932-01-18,male
135,6,1938-09-10,female
136,55,1921-01-26,female
137,60,1923-09-14,male
138,54,1972-10-21,female
