area,fraud_ip
Рязань,5.3.252.223
Москва,5.3.252.224
Ростов-на-Дону,5.3.252.225
Петрозаводск,5.3.252.226
Ульяновск,5.3.252.227
Махачкала,5.3.252.228
Хабаровск,5.3.252.229
Калуга,5.3.252.230
Пенза,5.3.252.231
Екатеринбург,5.3.252.232
Тюмень,5.3.252.233
Липецк,5.3.252.234
Барнаул,5.3.252.235
Омск,5.3.252.236
Иваново,5.3.252.237
Санкт-Петербург,5.3.252.238
Вологда,5.3.252.239
Самара,5.3.252.240
Челябинск,5.3.252.241
Оренбург,5.3.252.242
Комсомольск-на-Амуре,5.3.252.243
Пермь,5.3.252.244
Чита,5.3.252.245
Калининград,5.3.252.246
Саратов,5.3.252.247
Братск,5.3.252.248
Красноярск,5.3.252.249
Ярославль,5.3.252.250
Казань,5.3.252.251
Смоленск,5.3.252.252
Курск,5.3.252.253
Нижний Новгород,5.3.252.254
Курган,5.3.252.255
Кострома,5.3.253.0
Волжский,5.3.253.1
Череповец,5.3.253.2
Владивосток,5.3.253.3
Архангельск,5.3.253.4
Новосибирск,5.3.253.5
Владикавказ,5.3.253.6
Уфа,5.3.253.7
Чебоксары,5.3.253.8
Ижевск,5.3.253.9
Орёл,5.3.253.10
Волгоград,5.3.253.11
Ставрополь,5.3.253.12
Томск,5.3.253.13
Нижний Тагил,5.3.253.14
Саранск,5.3.253.15
Тольятти,5.3.253.16
Якутск,5.3.253.17
Киров,5.3.253.18
Улан-Удэ,5.3.253.19
Тула,5.3.253.20
Севастополь,5.3.253.21
Брянск,5.3.253.22
Таганрог,5.3.253.23
Сочи,5.3.253.24
Грозный,5.3.253.25
Йошкар-Ола,5.3.253.26
Белгород,5.3.253.27
Нижневартовск,5.3.253.28
Магнитогорск,5.3.253.29
Краснодар,5.3.253.30
Воронеж,5.3.253.31
Мурманск,5.3.253.32
Кемерово,5.3.253.33
Иркутск,5.3.253.34
Тверь,5.3.253.35
Симферополь,5.3.253.36
Сургут,5.3.253.37
Тамбов,5.3.253.38
Стерлитамак,5.3.253.39
Набережные Челны,5.3.253.40
Астрахань,5.3.253.41
Владимир,5.3.253.42
Новокузнецк,5.3.253.43
Рязань,5.3.253.44
Москва,5.3.253.45
Ростов-на-Дону,5.3.253.46
Петрозаводск,5.3.253.47
Ульяновск,5.3.253.48
Махачкала,5.3.253.49
Хабаровск,5.3.253.50
Калуга,5.3.253.51
Пенза,5.3.253.52
Екатеринбург,5.3.253.53
Тюмень,5.3.253.54
Липецк,5.3.253.55
Барнаул,5.3.253.56
Омск,5.3.253.57
Иваново,5.3.253.58
Санкт-Петербург,5.3.253.59
Вологда,5.3.253.60
Самара,5.3.253.61
Челябинск,5.3.253.62
Оренбург,5.3.253.63
Комсомольск-на-Амуре,5.3.253.64
Пермь,5.3.253.65
Чита,5.3.253.66
Калининград,5.3.253.67
Саратов,5.3.253.68
Братск,5.3.253.69
Красноярск,5.3.253.70
Ярославль,5.3.253.71
Казань,5.3.253.72
Смоленск,5.3.253.73
Курск,5.3.253.74
Нижний Новгород,5.3.253.75
Курган,5.3.253.76
Кострома,5.3.253.77
Волжский,5.3.253.78
Череповец,5.3.253.79
Владивосток,5.3.253.80
Архангельск,5.3.253.81
Новосибирск,5.3.253.82
Владикавказ,5.3.253.83
Уфа,5.3.253.84
Чебоксары,5.3.253.85
Ижевск,5.3.253.86
Орёл,5.3.253.87
Волгоград,5.3.253.88
Ставрополь,5.3.253.89
Томск,5.3.253.90
Нижний Тагил,5.3.253.91
Саранск,5.3.253.92
Тольятти,5.3.253.93
Якутск,5.3.253.94
Киров,5.3.253.95
Улан-Удэ,5.3.253.96
Тула,5.3.253.97
Севастополь,5.3.253.98
Брянск,5.3.253.99
Таганрог,5.3.253.100
