client_id,birth_date,sex,region,city,lat,lon,city_id,home_ip
1,1995-12-07,female,Рязанская,Рязань,54.625457,39.7359992,18,2.60.0.1
2,1970-01-29,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.2
3,1965-10-03,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.3
4,1981-11-25,male,Ростовская,Ростов-на-Дону,47.2224364,39.7187866,5,2.60.0.4
5,1985-06-27,female,Ростовская,Ростов-на-Дону,47.2224364,39.7187866,5,2.60.0.5
6,1944-09-15,male,Карелия,Петрозаводск,61.78909,34.3596263,12,2.60.0.6
7,1954-01-19,male,Ульяновская,Ульяновск,54.3080674,48.3748717,15,2.60.0.7
8,1963-02-15,female,Дагестан,Махачкала,42.9848572,47.5046303,51,2.60.0.8
9,1960-10-09,male,Хабаровский,Хабаровск,48.4647991,135.0598811,60,2.60.0.9
10,1968-04-24,male,Калужская,Калуга,54.5060439,36.2515933,57,2.60.0.10
11,1975-08-16,female,Калужская,Калуга,54.5060439,36.2515933,57,2.60.0.11
12,2006-02-14,male,Пензенская,Пенза,53.1753884,45.0347408,40,2.60.0.12
13,1999-05-23,female,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.0.13
14,1967-06-16,female,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.14
15,1943-08-22,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.15
16,1944-02-19,male,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.16
17,1959-10-07,male,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.17
18,1956-03-29,female,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.18
19,1967-12-22,male,Алтайский,Барнаул,53.3481145,83.7798362,47,2.60.0.19
20,2003-12-29,male,Омская,Омск,54.9848136,73.3674638,46,2.60.0.20
21,1977-10-23,female,Карелия,Петрозаводск,61.78909,34.3596263,12,2.60.0.21
22,1994-10-05,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.22
23,1998-05-23,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.23
