city,lat,lon,fraud_ip
Москва,55.7538789,37.6203735,5.3.252.223
Санкт-Петербург,59.939125,30.3158225,5.3.252.224
Новосибирск,55.0281016,82.9210575,5.3.252.225
Екатеринбург,56.8386326,60.6054887,5.3.252.226
Нижний Новгород,56.3242093,44.0053948,5.3.252.227
Казань,55.7943877,49.1115312,5.3.252.228
Самара,53.1951657,50.1067691,5.3.252.229
Омск,54.9848136,73.3674638,5.3.252.230
Челябинск,55.1603659,61.4007858,5.3.252.231
Ростов-на-Дону,47.2224364,39.7187866,5.3.252.232
Уфа,54.734853,55.9578647,5.3.252.233
Волгоград,48.7072005,44.5170207,5.3.252.234
Пермь,58.0103211,56.2341778,5.3.252.235
Красноярск,56.009466,92.8524162,5.3.252.236
Воронеж,51.6592378,39.1968284,5.3.252.237
Саратов,51.530376,45.9530257,5.3.252.238
Краснодар,45.040235,38.9760801,5.3.252.239
Тольятти,53.5206438,49.389461,5.3.252.240
Барнаул,53.3481145,83.7798362,5.3.252.241
Ижевск,56.8527444,53.2113961,5.3.252.242
Ульяновск,54.3080674,48.3748717,5.3.252.243
Владивосток,43.1163807,131.882348,5.3.252.244
Ярославль,57.6216145,39.897878,5.3.252.245
Иркутск,52.2863513,104.280655,5.3.252.246
Тюмень,57.1530824,65.5343118,5.3.252.247
Махачкала,42.9848572,47.5046303,5.3.252.248
Хабаровск,48.4647991,135.0598811,5.3.252.249
Оренбург,51.7875191,55.1017379,5.3.252.250
Новокузнецк,53.7942757,87.2144046,5.3.252.251
Кемерово,55.3909721,86.0467864,5.3.252.252
Рязань,54.625457,39.7359992,5.3.252.253
Томск,56.4847036,84.9481737,5.3.252.254
Астрахань,46.3655808,48.0559979,5.3.252.255
Пенза,53.1753884,45.0347408,5.3.253.0
Набережные Челны,55.7436475,52.3958739,5.3.253.1
Липецк,52.6103027,39.5946266,5.3.253.2
Тула,54.192017,37.6153885,5.3.253.3
Киров,58.6035313,49.6679219,5.3.253.4
Чебоксары,56.1439378,47.2488718,5.3.253.5
Улан-Удэ,51.8334378,107.5841511,5.3.253.6
Калининград,54.7073218,20.5072458,5.3.253.7
Брянск,53.2420071,34.3652716,5.3.253.8
Курск,51.7303391,36.1926448,5.3.253.9
Иваново,56.9994677,40.9728231,5.3.253.10
Магнитогорск,53.4071891,58.9791432,5.3.253.11
Тверь,56.8585396,35.9117898,5.3.253.12
Ставрополь,45.0445439,41.9690168,5.3.253.13
Симферополь,44.9482645,34.100117,5.3.253.14
Нижний Тагил,57.9101038,59.9813242,5.3.253.15
Белгород,50.5977351,36.5858236,5.3.253.16
Архангельск,64.5392985,40.5170083,5.3.253.17
Владимир,56.1281561,40.4082995,5.3.253.18
Севастополь,44.6167334,33.5253552,5.3.253.19
Сочи,43.5855829,39.7231419,5.3.253.20
Курган,55.4443448,65.3161339,5.3.253.21
Смоленск,54.7867168,31.8153366,5.3.253.22
Калуга,54.5060439,36.2515933,5.3.253.23
Чита,52.0340128,113.4994884,5.3.253.24
Орёл,52.9672573,36.0696479,5.3.253.25
Волжский,48.7978483,44.7462417,5.3.253.26
Череповец,59.1269214,37.9092243,5.3.253.27
Владикавказ,43.0205039,44.6819383,5.3.253.28
Мурманск,69.0076958,33.0686019,5.3.253.29
Сургут,61.2539773,73.3961726,5.3.253.30
Вологда,59.2484186,39.8356461,5.3.253.31
Саранск,54.1807601,45.1862263,5.3.253.32
Тамбов,52.7213021,41.452258,5.3.253.33
Стерлитамак,53.6302498,55.9315707,5.3.253.34
Грозный,43.3179243,45.6981102,5.3.253.35
Якутск,62.0280273,129.7325717,5.3.253.36
Кострома,57.8029445,40.9907282,5.3.253.37
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.253.38
Петрозаводск,61.78909,34.3596263,5.3.253.39
Таганрог,47.2094907,38.935154,5.3.253.40
Нижневартовск,60.9397379,76.5696206,5.3.253.41
Йошкар-Ола,56.6343763,47.8998445,5.3.253.42
Братск,56.1513951,101.6339892,5.3.253.43
Москва,55.7538789,37.6203735,5.3.253.44
Санкт-Петербург,59.939125,30.3158225,5.3.253.45
Новосибирск,55.0281016,82.9210575,5.3.253.46
Екатеринбург,56.8386326,60.6054887,5.3.253.47
Нижний Новгород,56.3242093,44.0053948,5.3.253.48
Казань,55.7943877,49.1115312,5.3.253.49
Самара,53.1951657,50.1067691,5.3.253.50
Омск,54.9848136,73.3674638,5.3.253.51
Челябинск,55.1603659,61.4007858,5.3.253.52
Ростов-на-Дону,47.2224364,39.7187866,5.3.253.53
Уфа,54.734853,55.9578647,5.3.253.54
Волгоград,48.7072005,44.5170207,5.3.253.55
Пермь,58.0103211,56.2341778,5.3.253.56
Красноярск,56.009466,92.8524162,5.3.253.57
Воронеж,51.6592378,39.1968284,5.3.253.58
Саратов,51.530376,45.9530257,5.3.253.59
Краснодар,45.040235,38.9760801,5.3.253.60
Тольятти,53.5206438,49.389461,5.3.253.61
Барнаул,53.3481145,83.7798362,5.3.253.62
Ижевск,56.8527444,53.2113961,5.3.253.63
Ульяновск,54.3080674,48.3748717,5.3.253.64
Владивосток,43.1163807,131.882348,5.3.253.65
Ярославль,57.6216145,39.897878,5.3.253.66
Иркутск,52.2863513,104.280655,5.3.253.67
Тюмень,57.1530824,65.5343118,5.3.253.68
Махачкала,42.9848572,47.5046303,5.3.253.69
Хабаровск,48.4647991,135.0598811,5.3.253.70
Оренбург,51.7875191,55.1017379,5.3.253.71
Новокузнецк,53.7942757,87.2144046,5.3.253.72
Кемерово,55.3909721,86.0467864,5.3.253.73
Рязань,54.625457,39.7359992,5.3.253.74
Томск,56.4847036,84.9481737,5.3.253.75
Астрахань,46.3655808,48.0559979,5.3.253.76
Пенза,53.1753884,45.0347408,5.3.253.77
Набережные Челны,55.7436475,52.3958739,5.3.253.78
Липецк,52.6103027,39.5946266,5.3.253.79
Тула,54.192017,37.6153885,5.3.253.80
Киров,58.6035313,49.6679219,5.3.253.81
Чебоксары,56.1439378,47.2488718,5.3.253.82
Улан-Удэ,51.8334378,107.5841511,5.3.253.83
Калининград,54.7073218,20.5072458,5.3.253.84
Брянск,53.2420071,34.3652716,5.3.253.85
Курск,51.7303391,36.1926448,5.3.253.86
Иваново,56.9994677,40.9728231,5.3.253.87
Магнитогорск,53.4071891,58.9791432,5.3.253.88
Тверь,56.8585396,35.9117898,5.3.253.89
Ставрополь,45.0445439,41.9690168,5.3.253.90
Симферополь,44.9482645,34.100117,5.3.253.91
Нижний Тагил,57.9101038,59.9813242,5.3.253.92
Белгород,50.5977351,36.5858236,5.3.253.93
Архангельск,64.5392985,40.5170083,5.3.253.94
Владимир,56.1281561,40.4082995,5.3.253.95
Севастополь,44.6167334,33.5253552,5.3.253.96
Сочи,43.5855829,39.7231419,5.3.253.97
Курган,55.4443448,65.3161339,5.3.253.98
Смоленск,54.7867168,31.8153366,5.3.253.99
Калуга,54.5060439,36.2515933,5.3.253.100
Чита,52.0340128,113.4994884,5.3.253.101
Орёл,52.9672573,36.0696479,5.3.253.102
Волжский,48.7978483,44.7462417,5.3.253.103
Череповец,59.1269214,37.9092243,5.3.253.104
Владикавказ,43.0205039,44.6819383,5.3.253.105
